Dataset,ModelID,ModelClass,Rows,ParameterCount,AmplitudePolicyID,Amplitude,AmplitudeSelectionAllowed,Chi2,AIC,BIC,SignStableViolations,MeanAbsResidual,CovarianceClass,Status,ClaimBoundary
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,K1_NO_MEMORY_CONTEXT,fair_null_context,8,0,not_applicable,not_applicable,False,13.429587993885114,13.429587993885114,13.429587993885114,0,2.053025679822352,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,physical_null_preflight_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,K2_LOCKED_RHO4_CONTEXT,locked_prediction_context,8,0,not_applicable,not_applicable,False,9.678203467277251,9.678203467277251,9.678203467277251,0,1.7419429945815255,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,physical_null_preflight_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,POLY_DEG2_CONTEXT,overfit_risk_context,8,3,not_applicable,not_applicable,False,204.06553145205848,210.06553145205848,210.30385607709798,0,0.7056353826976487,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,polynomial_context_no_physical_explanation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,POLY_DEG3_CONTEXT,overfit_risk_context,8,4,not_applicable,not_applicable,False,186.09960838427224,194.09960838427224,194.41737455099158,0,0.6194967580661274,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,polynomial_context_no_physical_explanation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,BACKREACTION_ONLY_BACKREACTION_BROADBAND_UNIT_NORM_V1_A+1.0_PHYSNULL_AMP_UNIT_ONLY_V1,physical_null_preflight_sanity,8,0,PHYSNULL_AMP_UNIT_ONLY_V1,1.0,False,18.42447704631323,18.42447704631323,18.42447704631323,2,2.2330055745470303,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,primary_sanity_preflight_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,BACKREACTION_ONLY_BACKREACTION_BROADBAND_UNIT_NORM_V1_A-1.0_PHYSNULL_AMP_BOUNDED_GRID_V1,physical_null_preflight_sensitivity,8,0,PHYSNULL_AMP_BOUNDED_GRID_V1,-1.0,False,14.259190423990146,14.259190423990146,14.259190423990146,3,2.213982193375565,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,secondary_sensitivity_preflight_report_all_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,BACKREACTION_ONLY_BACKREACTION_BROADBAND_UNIT_NORM_V1_A-0.5_PHYSNULL_AMP_BOUNDED_GRID_V1,physical_null_preflight_sensitivity,8,0,PHYSNULL_AMP_BOUNDED_GRID_V1,-0.5,False,14.89083024250557,14.89083024250557,14.89083024250557,3,2.2187380386684312,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,secondary_sensitivity_preflight_report_all_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,BACKREACTION_ONLY_BACKREACTION_BROADBAND_UNIT_NORM_V1_A+0.0_PHYSNULL_AMP_BOUNDED_GRID_V1,physical_null_preflight_sensitivity,8,0,PHYSNULL_AMP_BOUNDED_GRID_V1,0.0,False,15.795591285731225,15.795591285731225,15.795591285731225,5,2.2234938839612974,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,secondary_sensitivity_preflight_report_all_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,BACKREACTION_ONLY_BACKREACTION_BROADBAND_UNIT_NORM_V1_A+0.5_PHYSNULL_AMP_BOUNDED_GRID_V1,physical_null_preflight_sensitivity,8,0,PHYSNULL_AMP_BOUNDED_GRID_V1,0.5,False,16.973473553667112,16.973473553667112,16.973473553667112,2,2.2282497292541636,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,secondary_sensitivity_preflight_report_all_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,BACKREACTION_ONLY_BACKREACTION_BROADBAND_UNIT_NORM_V1_A+1.0_PHYSNULL_AMP_BOUNDED_GRID_V1,physical_null_preflight_sensitivity,8,0,PHYSNULL_AMP_BOUNDED_GRID_V1,1.0,False,18.42447704631323,18.42447704631323,18.42447704631323,2,2.2330055745470303,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,secondary_sensitivity_preflight_report_all_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,DYER_ROEDER_OPTICAL_DYER_ROEDER_OPTICAL_UNIT_NORM_V1_A+1.0_PHYSNULL_AMP_UNIT_ONLY_V1,physical_null_preflight_sanity,8,0,PHYSNULL_AMP_UNIT_ONLY_V1,1.0,False,20.786131210695956,20.786131210695956,20.786131210695956,2,2.2463356928732505,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,primary_sanity_preflight_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,DYER_ROEDER_OPTICAL_DYER_ROEDER_OPTICAL_UNIT_NORM_V1_A-1.0_PHYSNULL_AMP_BOUNDED_GRID_V1,physical_null_preflight_sensitivity,8,0,PHYSNULL_AMP_BOUNDED_GRID_V1,-1.0,False,13.67349220290881,13.67349220290881,13.67349220290881,3,2.200652075049345,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,secondary_sensitivity_preflight_report_all_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,DYER_ROEDER_OPTICAL_DYER_ROEDER_OPTICAL_UNIT_NORM_V1_A-0.5_PHYSNULL_AMP_BOUNDED_GRID_V1,physical_null_preflight_sensitivity,8,0,PHYSNULL_AMP_BOUNDED_GRID_V1,-0.5,False,14.375986639052229,14.375986639052229,14.375986639052229,3,2.2120729795053213,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,secondary_sensitivity_preflight_report_all_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,DYER_ROEDER_OPTICAL_DYER_ROEDER_OPTICAL_UNIT_NORM_V1_A+0.0_PHYSNULL_AMP_BOUNDED_GRID_V1,physical_null_preflight_sensitivity,8,0,PHYSNULL_AMP_BOUNDED_GRID_V1,0.0,False,15.795591285731225,15.795591285731225,15.795591285731225,5,2.2234938839612974,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,secondary_sensitivity_preflight_report_all_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,DYER_ROEDER_OPTICAL_DYER_ROEDER_OPTICAL_UNIT_NORM_V1_A+0.5_PHYSNULL_AMP_BOUNDED_GRID_V1,physical_null_preflight_sensitivity,8,0,PHYSNULL_AMP_BOUNDED_GRID_V1,0.5,False,17.932306142945798,17.932306142945798,17.932306142945798,2,2.2349147884172744,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,secondary_sensitivity_preflight_report_all_no_measurement_validation
SOURCE_SPLIT_LIKELIHOOD_NATIVE_PHYSICAL_NULL_PREFLIGHT,DYER_ROEDER_OPTICAL_DYER_ROEDER_OPTICAL_UNIT_NORM_V1_A+1.0_PHYSNULL_AMP_BOUNDED_GRID_V1,physical_null_preflight_sensitivity,8,0,PHYSNULL_AMP_BOUNDED_GRID_V1,1.0,False,20.786131210695956,20.786131210695956,20.786131210695956,2,2.2463356928732505,branch_scatter_preflight_not_public_full_covariance,PREFLIGHT_SCORE_NOT_MEASUREMENT_VALIDATION,secondary_sensitivity_preflight_report_all_no_measurement_validation
